City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
108,Nome,64.5011,-165.4064,55.47,45,0,11.5,US,clear sky
109,Puerto Rico,-26.796,-55.024,58.78,57,0,3.06,AR,clear sky
110,Slave Lake,55.2834,-114.769,39.18,65,0,10.36,CA,clear sky
111,Itarema,-2.9248,-39.9167,84.18,71,95,6.29,BR,overcast clouds
112,San Cristobal,7.7669,-72.225,77.18,58,96,8.21,VE,overcast clouds
113,Lilongwe,-13.9669,33.7873,77.2,57,40,9.22,MW,scattered clouds
114,Hambantota,6.1241,81.1185,82.74,89,20,12.66,LK,few clouds
115,Hithadhoo,-0.6,73.0833,83.68,72,95,12.1,MV,overcast clouds
116,Saint-Augustin,51.226,-58.6502,55.08,45,34,7.58,CA,scattered clouds
117,Codrington,-38.2667,141.9667,44.6,90,10,6.98,AU,clear sky
118,Shimorskoye,55.3244,42.0267,50.09,45,72,9.8,RU,broken clouds
119,Geraldton,-28.7667,114.6,57.61,94,17,6.91,AU,few clouds
120,Dongsheng,39.8161,109.9776,66.92,27,94,7.29,CN,overcast clouds
121,Avarua,-21.2078,-159.775,75.25,83,75,3.44,CK,broken clouds
122,East London,-33.0153,27.9116,58.14,94,100,11.5,ZA,light rain
123,Saint George,37.1041,-113.5841,60.26,18,0,14.97,US,clear sky
124,Sola,-13.8833,167.55,81.7,76,4,12.57,VU,clear sky
125,Shimoda,34.6667,138.95,66.56,86,100,8.57,JP,overcast clouds
126,Aripuana,-9.1667,-60.6333,77.34,41,38,2.26,BR,scattered clouds
127,Storsteinnes,69.2408,19.2344,56.05,100,100,3.83,NO,overcast clouds
128,Ribeira Grande,38.5167,-28.7,64.8,82,75,3.44,PT,broken clouds
129,San Pedro,14.35,121.0167,76.35,93,100,4.61,PH,light rain
130,Rawson,-43.3002,-65.1023,61.77,46,89,18.3,AR,overcast clouds
131,Champerico,14.3,-91.9167,81.14,75,100,9.89,GT,overcast clouds
132,Nemuro,43.3236,145.575,46.74,95,34,6.69,JP,scattered clouds
133,Yarada,17.65,83.2667,86.32,74,40,10.36,IN,scattered clouds
134,Lavrentiya,65.5833,-171.0,28.17,91,97,5.82,RU,overcast clouds
135,Upernavik,72.7868,-56.1549,27.93,86,91,11.68,GL,overcast clouds
136,Severo-Kurilsk,50.6789,156.125,43.86,91,98,6.64,RU,light rain
137,Esperance,-33.8667,121.9,63.66,71,94,6.73,AU,overcast clouds
138,Jiwani,25.05,61.7417,85.77,79,0,11.25,PK,clear sky
139,Dikson,73.5069,80.5464,30.63,75,98,1.7,RU,overcast clouds
140,Alabaster,33.2443,-86.8164,79.29,83,100,8.05,US,overcast clouds
141,Bredasdorp,-34.5322,20.0403,60.53,57,74,10.56,ZA,broken clouds
142,Torbay,47.6666,-52.7314,54.28,62,40,10.36,CA,scattered clouds
143,Haines Junction,60.7522,-137.5108,31.95,86,4,0.0,CA,clear sky
144,Matagami,49.7502,-77.6328,57.31,67,100,17.27,CA,light rain
145,Nichinan,31.6,131.3667,59.02,93,100,6.44,JP,light rain
146,Norman Wells,65.282,-126.8329,42.84,87,75,0.0,CA,broken clouds
