City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
235,Maitum,PH,80.94,overcast clouds,6.0392,124.4986,Pearl Garden
236,Namibe,AO,75.87,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
237,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
242,Tazmalt,DZ,89.58,clear sky,36.3868,4.3989,Hôtel Numédia
243,Bubaque,GW,78.73,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
246,Isangel,VU,77.29,heavy intensity rain,-19.55,169.2667,Tanna Lodge
247,Porto Novo,BJ,89.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
250,Kailua,US,78.78,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
258,Victoria,HK,81.18,few clouds,22.2855,114.1577,Mini Central
264,Nishihara,JP,77.05,overcast clouds,26.1842,127.7558,Minshuku Agaihama
267,Lata,PT,89.92,overcast clouds,40.1629,-8.3327,Casa Maquia
272,Ojinaga,MX,84.58,clear sky,29.5667,-104.4167,Suites Las Palmas
275,Langsa,ID,76.96,broken clouds,4.4683,97.9683,OYO 3328 Hotel Mori
277,Waingapu,ID,78.31,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
280,Auki,SB,76.98,scattered clouds,-8.7676,160.7034,Auki Motel
283,Papa,HU,84.13,clear sky,47.33,17.4674,Viktoria Guesthouse
287,Luanda,AO,77.7,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
294,Ixtapa,MX,78.22,broken clouds,20.7,-105.2,hotel la terminal
302,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
303,Ullal,IN,77.95,mist,12.8,74.85,AK INTERNATIONAL LODGE
306,Nicholasville,US,79.48,clear sky,37.8806,-84.573,"Holiday Inn Express Lexington-SW (Nicholasville), an IHG Hotel"
311,Basti,IN,89.85,few clouds,26.8,82.7167,SPOT ON 43231 Hotel Aura Inn SPOT
313,Ascension,US,84.06,scattered clouds,30.2169,-90.9001,Highland Inn
319,Carutapera,BR,77.05,overcast clouds,-1.195,-46.02,Lidera
323,Kulhudhuffushi,MV,83.23,broken clouds,6.6221,73.07,Haajy Guest House 1
329,Kudahuvadhoo,MV,83.82,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
333,Jijiga,ET,80.87,overcast clouds,9.35,42.8,RAMAAS HOTEL
336,Ternate,ID,81.1,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
337,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
